Soil Type,Crop Type,Weather Condition,Fertilizer,Ratio
Loam,Wheat,Sunny,DAP,10-26-26
Clay,Rice,Rainy,DAP,18-46-0
Sandy,Rice,Rainy,Urea,46-0-0
Loam,Maize,Cloudy,NPK,20-20-20
Sandy,Maize,Rainy,Urea,46-0-0
Sandy,Rice,Sunny,NPK,10-26-26
Loam,Wheat,Rainy,Urea,46-0-0
Clay,Wheat,Sunny,Urea,10-26-26
Clay,Wheat,Sunny,NPK,20-20-20
Clay,Maize,Cloudy,Urea,10-26-26
Sandy,Maize,Cloudy,NPK,12-32-16
Loam,Maize,Cloudy,Urea,20-20-20
Loam,Wheat,Sunny,Urea,20-20-20
Sandy,Maize,Cloudy,DAP,10-26-26
Loam,Rice,Rainy,Urea,46-0-0
Clay,Maize,Sunny,DAP,20-20-20
Loam,Wheat,Rainy,Urea,46-0-0
Sandy,Rice,Rainy,Urea,46-0-0
Loam,Wheat,Sunny,NPK,12-32-16
Loam,Rice,Cloudy,Urea,10-26-26
Sandy,Wheat,Sunny,NPK,10-26-26
Loam,Maize,Sunny,NPK,10-26-26
Clay,Rice,Sunny,DAP,18-46-0
Loam,Maize,Sunny,Urea,12-32-16
Sandy,Wheat,Sunny,NPK,10-26-26
Sandy,Rice,Rainy,Urea,46-0-0
Clay,Maize,Cloudy,DAP,10-26-26
Loam,Wheat,Sunny,DAP,20-20-20
Loam,Wheat,Rainy,Urea,46-0-0
Clay,Rice,Sunny,DAP,18-46-0
Sandy,Rice,Rainy,Urea,46-0-0
Clay,Rice,Cloudy,DAP,18-46-0
Sandy,Wheat,Rainy,Urea,46-0-0
Loam,Maize,Sunny,DAP,20-20-20
Clay,Wheat,Sunny,DAP,10-26-26
Loam,Maize,Rainy,Urea,46-0-0
Clay,Wheat,Cloudy,NPK,12-32-16
Loam,Maize,Cloudy,Urea,12-32-16
Clay,Maize,Sunny,DAP,20-20-20
Sandy,Rice,Sunny,NPK,10-26-26
Sandy,Wheat,Cloudy,NPK,10-26-26
Loam,Rice,Sunny,DAP,10-26-26
Sandy,Maize,Rainy,Urea,46-0-0
Sandy,Rice,Sunny,NPK,10-26-26
Clay,Wheat,Rainy,Urea,46-0-0
Clay,Maize,Cloudy,NPK,10-26-26
Loam,Wheat,Cloudy,NPK,20-20-20
Clay,Wheat,Rainy,Urea,46-0-0
Clay,Maize,Sunny,DAP,10-26-26
Loam,Wheat,Rainy,Urea,46-0-0
Sandy,Wheat,Cloudy,DAP,10-26-26
Clay,Maize,Rainy,Urea,46-0-0
Sandy,Maize,Sunny,NPK,10-26-26
Sandy,Rice,Rainy,Urea,46-0-0
Sandy,Wheat,Sunny,NPK,10-26-26
Sandy,Wheat,Sunny,NPK,10-26-26
Clay,Maize,Rainy,Urea,46-0-0
Sandy,Wheat,Cloudy,Urea,12-32-16
Loam,Maize,Sunny,Urea,10-26-26
Loam,Rice,Sunny,Urea,20-20-20
Clay,Maize,Sunny,NPK,10-26-26
Sandy,Maize,Rainy,Urea,46-0-0
Sandy,Maize,Rainy,Urea,46-0-0
Clay,Wheat,Sunny,Urea,10-26-26
Sandy,Wheat,Rainy,Urea,46-0-0
Loam,Wheat,Rainy,Urea,46-0-0
Loam,Maize,Sunny,NPK,20-20-20
Sandy,Rice,Rainy,Urea,46-0-0
Clay,Wheat,Cloudy,Urea,12-32-16
Clay,Rice,Rainy,DAP,18-46-0
Clay,Rice,Rainy,DAP,18-46-0
Loam,Maize,Sunny,DAP,12-32-16
Sandy,Maize,Sunny,NPK,10-26-26
Loam,Rice,Cloudy,Urea,20-20-20
Loam,Wheat,Cloudy,DAP,20-20-20
Sandy,Wheat,Rainy,Urea,46-0-0
Clay,Wheat,Sunny,Urea,20-20-20
Sandy,Wheat,Rainy,Urea,46-0-0
Loam,Maize,Sunny,Urea,10-26-26
